id,employee_id,field_id,value,created_at,updated_at
1,1,employment_type,Per Diem,2025-04-04T10:00:00Z,2025-04-23T10:00:00Z
2,1,fte_band,0.9,2025-04-04T10:00:00Z,2025-04-23T10:00:00Z
3,1,shift,Day,2025-04-04T10:00:00Z,2025-04-23T10:00:00Z
4,1,remote_status,Onsite,2025-04-04T10:00:00Z,2025-04-23T10:00:00Z
5,2,employment_type,Contract,2025-01-05T10:00:00Z,2025-01-27T10:00:00Z
6,2,fte_band,0.75,2025-01-05T10:00:00Z,2025-01-27T10:00:00Z
7,2,shift,Day,2025-01-05T10:00:00Z,2025-01-27T10:00:00Z
8,2,remote_status,Onsite,2025-01-05T10:00:00Z,2025-01-27T10:00:00Z
9,3,employment_type,Full-time,2025-05-26T10:00:00Z,2025-06-15T10:00:00Z
10,3,fte_band,1.0,2025-05-26T10:00:00Z,2025-06-15T10:00:00Z
11,3,shift,Rotating,2025-05-26T10:00:00Z,2025-06-15T10:00:00Z
12,3,remote_status,Onsite,2025-05-26T10:00:00Z,2025-06-15T10:00:00Z
13,4,employment_type,Contract,2025-05-27T10:00:00Z,2025-06-09T10:00:00Z
14,4,fte_band,0.75,2025-05-27T10:00:00Z,2025-06-09T10:00:00Z
15,4,shift,Day,2025-05-27T10:00:00Z,2025-06-09T10:00:00Z
16,4,remote_status,Onsite,2025-05-27T10:00:00Z,2025-06-09T10:00:00Z
17,5,employment_type,Part-time,2025-02-23T10:00:00Z,2025-03-01T10:00:00Z
18,5,fte_band,0.75,2025-02-23T10:00:00Z,2025-03-01T10:00:00Z
19,5,shift,Day,2025-02-23T10:00:00Z,2025-03-01T10:00:00Z
20,5,remote_status,Onsite,2025-02-23T10:00:00Z,2025-03-01T10:00:00Z
21,6,employment_type,Full-time,2025-08-02T10:00:00Z,2025-08-19T10:00:00Z
22,6,fte_band,1.0,2025-08-02T10:00:00Z,2025-08-19T10:00:00Z
23,6,shift,Day,2025-08-02T10:00:00Z,2025-08-19T10:00:00Z
24,6,remote_status,Onsite,2025-08-02T10:00:00Z,2025-08-19T10:00:00Z
25,7,employment_type,Contract,2025-08-02T10:00:00Z,2025-09-11T10:00:00Z
26,7,fte_band,0.75,2025-08-02T10:00:00Z,2025-09-11T10:00:00Z
27,7,shift,Day,2025-08-02T10:00:00Z,2025-09-11T10:00:00Z
28,7,remote_status,Onsite,2025-08-02T10:00:00Z,2025-09-11T10:00:00Z
29,8,employment_type,Per Diem,2024-08-06T10:00:00Z,2024-09-03T10:00:00Z
30,8,fte_band,0.75,2024-08-06T10:00:00Z,2024-09-03T10:00:00Z
31,8,shift,Day,2024-08-06T10:00:00Z,2024-09-03T10:00:00Z
32,8,remote_status,Hybrid,2024-08-06T10:00:00Z,2024-09-03T10:00:00Z
33,9,employment_type,Full-time,2024-08-07T10:00:00Z,2024-08-14T10:00:00Z
34,9,fte_band,0.9,2024-08-07T10:00:00Z,2024-08-14T10:00:00Z
35,9,shift,Day,2024-08-07T10:00:00Z,2024-08-14T10:00:00Z
36,9,remote_status,Onsite,2024-08-07T10:00:00Z,2024-08-14T10:00:00Z
37,10,employment_type,Part-time,2025-10-16T10:00:00Z,2025-10-25T10:00:00Z
38,10,fte_band,1.0,2025-10-16T10:00:00Z,2025-10-25T10:00:00Z
39,10,shift,Night,2025-10-16T10:00:00Z,2025-10-25T10:00:00Z
40,10,remote_status,Onsite,2025-10-16T10:00:00Z,2025-10-25T10:00:00Z
41,11,employment_type,Contract,2025-03-30T10:00:00Z,2025-04-06T10:00:00Z
42,11,fte_band,1.0,2025-03-30T10:00:00Z,2025-04-06T10:00:00Z
43,11,shift,Day,2025-03-30T10:00:00Z,2025-04-06T10:00:00Z
44,11,remote_status,Onsite,2025-03-30T10:00:00Z,2025-04-06T10:00:00Z
45,12,employment_type,Contract,2024-06-22T10:00:00Z,2024-07-16T10:00:00Z
46,12,fte_band,1.0,2024-06-22T10:00:00Z,2024-07-16T10:00:00Z
47,12,shift,Day,2024-06-22T10:00:00Z,2024-07-16T10:00:00Z
48,12,remote_status,Onsite,2024-06-22T10:00:00Z,2024-07-16T10:00:00Z
49,13,employment_type,Full-time,2024-09-26T10:00:00Z,2024-10-15T10:00:00Z
50,13,fte_band,1.0,2024-09-26T10:00:00Z,2024-10-15T10:00:00Z
51,13,shift,Day,2024-09-26T10:00:00Z,2024-10-15T10:00:00Z
52,13,remote_status,Hybrid,2024-09-26T10:00:00Z,2024-10-15T10:00:00Z
53,14,employment_type,Full-time,2025-05-11T10:00:00Z,2025-06-20T10:00:00Z
54,14,fte_band,0.5,2025-05-11T10:00:00Z,2025-06-20T10:00:00Z
55,14,shift,Day,2025-05-11T10:00:00Z,2025-06-20T10:00:00Z
56,14,remote_status,Onsite,2025-05-11T10:00:00Z,2025-06-20T10:00:00Z
57,14,union_status,Non-union,2025-05-11T10:00:00Z,2025-06-20T10:00:00Z
58,15,employment_type,Contract,2024-10-17T10:00:00Z,2024-11-14T10:00:00Z
59,15,fte_band,0.75,2024-10-17T10:00:00Z,2024-11-14T10:00:00Z
60,15,shift,Day,2024-10-17T10:00:00Z,2024-11-14T10:00:00Z
61,15,remote_status,Onsite,2024-10-17T10:00:00Z,2024-11-14T10:00:00Z
62,15,clinical_privileges,Full,2024-10-17T10:00:00Z,2024-11-14T10:00:00Z
63,16,employment_type,Part-time,2024-09-01T10:00:00Z,2024-09-05T10:00:00Z
64,16,fte_band,1.0,2024-09-01T10:00:00Z,2024-09-05T10:00:00Z
65,16,shift,Day,2024-09-01T10:00:00Z,2024-09-05T10:00:00Z
66,16,remote_status,Onsite,2024-09-01T10:00:00Z,2024-09-05T10:00:00Z
67,17,employment_type,Full-time,2025-05-21T10:00:00Z,2025-06-17T10:00:00Z
68,17,fte_band,0.9,2025-05-21T10:00:00Z,2025-06-17T10:00:00Z
69,17,shift,Day,2025-05-21T10:00:00Z,2025-06-17T10:00:00Z
70,17,remote_status,Hybrid,2025-05-21T10:00:00Z,2025-06-17T10:00:00Z
71,18,employment_type,Full-time,2025-07-17T10:00:00Z,2025-07-21T10:00:00Z
72,18,fte_band,0.75,2025-07-17T10:00:00Z,2025-07-21T10:00:00Z
73,18,shift,Day,2025-07-17T10:00:00Z,2025-07-21T10:00:00Z
74,18,remote_status,Onsite,2025-07-17T10:00:00Z,2025-07-21T10:00:00Z
75,19,employment_type,Full-time,2025-02-17T10:00:00Z,2025-03-17T10:00:00Z
76,19,fte_band,0.9,2025-02-17T10:00:00Z,2025-03-17T10:00:00Z
77,19,shift,Day,2025-02-17T10:00:00Z,2025-03-17T10:00:00Z
78,19,remote_status,Onsite,2025-02-17T10:00:00Z,2025-03-17T10:00:00Z
79,20,employment_type,Contract,2025-03-06T10:00:00Z,2025-04-07T10:00:00Z
80,20,fte_band,0.9,2025-03-06T10:00:00Z,2025-04-07T10:00:00Z
81,20,shift,Evening,2025-03-06T10:00:00Z,2025-04-07T10:00:00Z
82,20,remote_status,Onsite,2025-03-06T10:00:00Z,2025-04-07T10:00:00Z
83,20,union_status,Union,2025-03-06T10:00:00Z,2025-04-07T10:00:00Z
84,21,employment_type,Full-time,2025-03-28T10:00:00Z,2025-03-29T10:00:00Z
85,21,fte_band,0.75,2025-03-28T10:00:00Z,2025-03-29T10:00:00Z
86,21,shift,Day,2025-03-28T10:00:00Z,2025-03-29T10:00:00Z
87,21,remote_status,Onsite,2025-03-28T10:00:00Z,2025-03-29T10:00:00Z
88,22,employment_type,Full-time,2025-11-18T10:00:00Z,2025-12-05T10:00:00Z
89,22,fte_band,1.0,2025-11-18T10:00:00Z,2025-12-05T10:00:00Z
90,22,shift,Day,2025-11-18T10:00:00Z,2025-12-05T10:00:00Z
91,22,remote_status,Onsite,2025-11-18T10:00:00Z,2025-12-05T10:00:00Z
92,23,employment_type,Part-time,2024-09-13T10:00:00Z,2024-09-30T10:00:00Z
93,23,fte_band,1.0,2024-09-13T10:00:00Z,2024-09-30T10:00:00Z
94,23,shift,Day,2024-09-13T10:00:00Z,2024-09-30T10:00:00Z
95,23,remote_status,Onsite,2024-09-13T10:00:00Z,2024-09-30T10:00:00Z
96,24,employment_type,Per Diem,2025-09-07T10:00:00Z,2025-10-07T10:00:00Z
97,24,fte_band,0.9,2025-09-07T10:00:00Z,2025-10-07T10:00:00Z
98,24,shift,Day,2025-09-07T10:00:00Z,2025-10-07T10:00:00Z
99,24,remote_status,Onsite,2025-09-07T10:00:00Z,2025-10-07T10:00:00Z
100,25,employment_type,Contract,2025-06-28T10:00:00Z,2025-07-19T10:00:00Z
101,25,fte_band,1.0,2025-06-28T10:00:00Z,2025-07-19T10:00:00Z
102,25,shift,Day,2025-06-28T10:00:00Z,2025-07-19T10:00:00Z
103,25,remote_status,Hybrid,2025-06-28T10:00:00Z,2025-07-19T10:00:00Z
104,26,employment_type,Full-time,2025-11-02T10:00:00Z,2025-12-01T10:00:00Z
105,26,fte_band,0.9,2025-11-02T10:00:00Z,2025-12-01T10:00:00Z
106,26,shift,Day,2025-11-02T10:00:00Z,2025-12-01T10:00:00Z
107,26,remote_status,Hybrid,2025-11-02T10:00:00Z,2025-12-01T10:00:00Z
108,27,employment_type,Full-time,2024-10-22T10:00:00Z,2024-11-23T10:00:00Z
109,27,fte_band,1.0,2024-10-22T10:00:00Z,2024-11-23T10:00:00Z
110,27,shift,Day,2024-10-22T10:00:00Z,2024-11-23T10:00:00Z
111,27,remote_status,Onsite,2024-10-22T10:00:00Z,2024-11-23T10:00:00Z
112,28,employment_type,Full-time,2025-05-31T10:00:00Z,2025-07-03T10:00:00Z
113,28,fte_band,0.9,2025-05-31T10:00:00Z,2025-07-03T10:00:00Z
114,28,shift,Day,2025-05-31T10:00:00Z,2025-07-03T10:00:00Z
115,28,remote_status,Onsite,2025-05-31T10:00:00Z,2025-07-03T10:00:00Z
116,28,clinical_privileges,Full,2025-05-31T10:00:00Z,2025-07-03T10:00:00Z
117,29,employment_type,Contract,2025-07-28T10:00:00Z,2025-08-15T10:00:00Z
118,29,fte_band,1.0,2025-07-28T10:00:00Z,2025-08-15T10:00:00Z
119,29,shift,Day,2025-07-28T10:00:00Z,2025-08-15T10:00:00Z
120,29,remote_status,Onsite,2025-07-28T10:00:00Z,2025-08-15T10:00:00Z
121,30,employment_type,Full-time,2025-04-08T10:00:00Z,2025-04-18T10:00:00Z
122,30,fte_band,1.0,2025-04-08T10:00:00Z,2025-04-18T10:00:00Z
123,30,shift,Day,2025-04-08T10:00:00Z,2025-04-18T10:00:00Z
124,30,remote_status,Remote,2025-04-08T10:00:00Z,2025-04-18T10:00:00Z
125,30,union_status,Union,2025-04-08T10:00:00Z,2025-04-18T10:00:00Z
126,31,employment_type,Part-time,2024-08-24T10:00:00Z,2024-08-31T10:00:00Z
127,31,fte_band,0.9,2024-08-24T10:00:00Z,2024-08-31T10:00:00Z
128,31,shift,Day,2024-08-24T10:00:00Z,2024-08-31T10:00:00Z
129,31,remote_status,Onsite,2024-08-24T10:00:00Z,2024-08-31T10:00:00Z
130,32,employment_type,Contract,2025-03-05T10:00:00Z,2025-03-31T10:00:00Z
131,32,fte_band,1.0,2025-03-05T10:00:00Z,2025-03-31T10:00:00Z
132,32,shift,Day,2025-03-05T10:00:00Z,2025-03-31T10:00:00Z
133,32,remote_status,Onsite,2025-03-05T10:00:00Z,2025-03-31T10:00:00Z
134,33,employment_type,Part-time,2024-11-12T10:00:00Z,2024-11-24T10:00:00Z
135,33,fte_band,1.0,2024-11-12T10:00:00Z,2024-11-24T10:00:00Z
136,33,shift,Day,2024-11-12T10:00:00Z,2024-11-24T10:00:00Z
137,33,remote_status,Onsite,2024-11-12T10:00:00Z,2024-11-24T10:00:00Z
138,34,employment_type,Per Diem,2024-10-11T10:00:00Z,2024-11-01T10:00:00Z
139,34,fte_band,1.0,2024-10-11T10:00:00Z,2024-11-01T10:00:00Z
140,34,shift,Day,2024-10-11T10:00:00Z,2024-11-01T10:00:00Z
141,34,remote_status,Onsite,2024-10-11T10:00:00Z,2024-11-01T10:00:00Z
142,35,employment_type,Full-time,2024-07-26T10:00:00Z,2024-08-04T10:00:00Z
143,35,fte_band,0.9,2024-07-26T10:00:00Z,2024-08-04T10:00:00Z
144,35,shift,Evening,2024-07-26T10:00:00Z,2024-08-04T10:00:00Z
145,35,remote_status,Onsite,2024-07-26T10:00:00Z,2024-08-04T10:00:00Z
146,35,union_status,Non-union,2024-07-26T10:00:00Z,2024-08-04T10:00:00Z
147,36,employment_type,Part-time,2025-01-14T10:00:00Z,2025-01-26T10:00:00Z
148,36,fte_band,1.0,2025-01-14T10:00:00Z,2025-01-26T10:00:00Z
149,36,shift,Day,2025-01-14T10:00:00Z,2025-01-26T10:00:00Z
150,36,remote_status,Onsite,2025-01-14T10:00:00Z,2025-01-26T10:00:00Z
151,37,employment_type,Contract,2025-10-26T10:00:00Z,2025-11-15T10:00:00Z
152,37,fte_band,1.0,2025-10-26T10:00:00Z,2025-11-15T10:00:00Z
153,37,shift,Evening,2025-10-26T10:00:00Z,2025-11-15T10:00:00Z
154,37,remote_status,Onsite,2025-10-26T10:00:00Z,2025-11-15T10:00:00Z
155,38,employment_type,Full-time,2025-07-07T10:00:00Z,2025-08-07T10:00:00Z
156,38,fte_band,0.75,2025-07-07T10:00:00Z,2025-08-07T10:00:00Z
157,38,shift,Rotating,2025-07-07T10:00:00Z,2025-08-07T10:00:00Z
158,38,remote_status,Onsite,2025-07-07T10:00:00Z,2025-08-07T10:00:00Z
159,39,employment_type,Full-time,2025-08-29T10:00:00Z,2025-09-26T10:00:00Z
160,39,fte_band,0.9,2025-08-29T10:00:00Z,2025-09-26T10:00:00Z
161,39,shift,Day,2025-08-29T10:00:00Z,2025-09-26T10:00:00Z
162,39,remote_status,Onsite,2025-08-29T10:00:00Z,2025-09-26T10:00:00Z
163,40,employment_type,Full-time,2024-10-16T10:00:00Z,2024-10-25T10:00:00Z
164,40,fte_band,0.9,2024-10-16T10:00:00Z,2024-10-25T10:00:00Z
165,40,shift,Rotating,2024-10-16T10:00:00Z,2024-10-25T10:00:00Z
166,40,remote_status,Onsite,2024-10-16T10:00:00Z,2024-10-25T10:00:00Z
